Megnevezés;Eredeti elõirányzat
Társadalmi felzárkózást segítõ programok (K3090903);8480400000
Önkormányzati tûzoltóságok normatív támogatása (K3090904);2682300000
A hivatásos életpályával, valamint a hivatásos állomány lakhatásával kapcsolatos kiadások (K3090905);17181200000
A Nemzeti Bûnmegelõzési Stratégia feladatrendszerének támogatása (K3090906);825700000
Tömeges bevándorlás kezeléséhez kapcsolódó kiadások (K3090907);1000000000
A terrorellenes intézkedések megvalósításához kapcsolódó kiadások (K3090908);500000000
Roma települési és területi nemzetiségi önkormányzatok támogatása (K3090909);1733600000
Európai Uniós és nemzetközi projektek/programok megvalósításához kapcsolódó kiadások (K3090910);1200000000
Belügyi alapok kiadásai (K30910);26437800000
Más minisztériumok fejezeti kiadásai (K304);1,69E+12
Igazságügyi Minisztérium (IM) fejezeti kiadásai (K30401);19792300000
Igazságügyi Minisztérium igazgatása (K3040101);8971300000
Magyarország Európai Unió melletti Állandó Képviseletének igazgatása (K3040102);6079800000
Mádl Ferenc Öszehasonlító Jogi Intézet (K3040103);691300000
Igazságügyi miniszter feladatkörébe tartozó jogszabályok alapján teljesítendõ fizetési kötelezettségek (K3040104);3469000000
Szakmai programok és egyéb kötelezettségek támogatása (IM) (K3040105);580900000
Agrárminisztérium (AM) fejezeti kiadásai (K30402);1,33E+11
Agrárminisztérium igazgatása (K3040201);9404200000
Nemzeti Élelmiszerlánc-biztonsági Hivatal kiadásai (K3040202);15547700000
Mezõgazdasági középfokú szakoktatás intézményeinek kiadásai (K3040203);29210000000
Nemzeti park igazgatóságok kiadásai (K3040204);13214000000
Nemzeti agrárkár-enyhítés kiadásai (K3040205);12800000000
Agrár uniós programok kiegészítõ támogatása (K3040206);13000000000
Agrár ágazati szakmai és társadalmi szervezetek támogatása (K3040207);8595500000
Mezõgazdasági feladatok kiadásai (K3040208);4398700000
Környezet- és természetvédelmi feladatok kiadásai (K3040209);4278000000
Egyéb szakmai feladatok kiadásai (AM) (K3040210);9743600000
Földügyi feladatok kiadásai (K304021001);1568400000
Erdõ-, vad- és halgazdálkodási feladatok kiadásai (K304021002);3693600000
Élelmiszergazdasági és élelmiszerlánc-felügyeleti feladatok kiadásai (K304021003);755600000
Állat, növény- és GMO-kártalanítás kiadásai (K304021004);3500000000
Peres ügyek kiadásai (K304021005);95600000
Fejezeti általános tartalék (K304021006);130400000
Ménesgazdaságok kiadásai (K3040211);3873500000
Egyéb hivatalok, intézetek kiadásai (K3040212);4162600000
Magyar Mezõgazdasági Múzeum és Könyvtár (K304021201);734900000
Nemzeti Biodiverzitás- és Génmegõrzési Központ (K304021202);1649800000
Országos Meteorológiai Szolgálat (OMSZ) (K304021203);1777900000
Nemzeti Földügyi Központ (K3040213);4408100000
Pénzügyminisztérium (PM) fejezeti kiadásai (K30404);4,76E+11
Nemzeti Adó- és Vámhivatal (NAV) kiadásai (K3040401);1,97E+11
Közbeszerzési és Ellátási Fõigazgatóság (KEF) kiadásai (K3040402);76299000000
Magyar Államkincstár (MÁK) kiadásai (K3040403);63688400000
Pénzügyminisztérium igazgatása (K3040404);16335500000
Céltartalékok (PM) (K3040405);1,06E+11
Egyéb kiadások (PM) (K3040406);16883500000
Európai Támogatásokat Auditáló Fõigazgatóság kiadásai (K304040601);1916900000
Kárrendezési célelõirányzat és egyéb kártalanítási feladatok kiadásai (PM) (K304040602);3550100000
